Year,Country,Male,Female,LifeExp,Population,GDP
2018,Afghanistan,63.05,66.03,64.49,37172386,19362969582.36
2018,Albania,76.82,80.17,78.46,2866376,15102500898.24
2018,Algeria,75.49,77.94,76.69,42228429,173757952824.25
2018,Angola,58.06,63.67,60.78,30809762,105750987618.63
2018,Antigua and Barbuda,75.72,77.98,76.89,96286,1610574074.07
2018,Argentina,73.08,79.86,76.52,44494502,519871519807.80
2018,Armenia,71.22,78.35,74.95,2951776,12433089919.05
2018,Aruba,73.63,78.51,76.15,105845,..
2018,Australia,80.70,84.90,82.75,24982688,1433904348500.12
2018,Austria,79.40,84.00,81.64,8840521,455285818035.13
2018,Azerbaijan,70.35,75.34,72.86,9939800,46939529411.76
2018,The Bahamas,71.50,75.91,73.75,385640,12424500000.00
2018,Bahrain,76.31,78.29,77.16,1569439,37746196808.51
2018,Bangladesh,70.64,74.29,72.32,161356039,274024958965.89
2018,Barbados,77.68,80.39,79.08,286641,5145000000.00
2018,Belarus,69.20,79.40,74.18,9483499,59662495092.27
2018,Belgium,79.40,83.90,81.60,11433256,542761092103.47
2018,Belize,71.58,77.67,74.50,383071,1871203164.08
2018,Benin,59.91,63.00,61.47,11485048,10354274634.91
2018,Bermuda,77.92,85.57,81.65,63973,..
2018,Bhutan,71.12,71.82,71.46,754394,2446674101.37
2018,Bolivia,68.43,74.21,71.24,11353142,40287647756.87
2018,Bosnia and Herzegovina,74.75,79.72,77.26,3323929,20161865419.43
2018,Botswana,66.20,72.05,69.28,2254126,18616018903.44
2018,Brazil,72.02,79.36,75.67,209469333,1868626087908.48
2018,Brunei,74.59,76.96,75.72,428962,13567351175.03
2018,Bulgaria,71.50,78.40,74.87,7025037,65132951116.48
2018,Burkina Faso,60.36,61.86,61.17,19751535,14124775068.57
2018,Burundi,59.44,63.03,61.25,11175378,3036931818.18
2018,Cabo Verde,69.32,76.01,72.78,543767,1976814276.51
2018,Cambodia,67.31,71.63,69.57,16249798,24542474061.24
2018,Cameroon,57.66,60.19,58.92,25216237,38675205293.05
2018,Canada,79.90,84.10,81.95,37057765,1713341704877.01
2018,Central African Republic,50.65,54.99,52.81,4666377,2219894701.95
2018,Chad,52.58,55.40,53.98,15477751,11273115239.43
2018,Channel Islands,80.97,84.80,82.93,170499,..
2018,Chile,77.55,82.38,80.04,18729160,298231133532.75
2018,China,74.55,79.05,76.70,1392730000,13608151864637.90
2018,Colombia,74.33,79.86,77.11,49648685,331047040087.88
2018,Comoros,62.40,65.90,64.12,832322,1177955048.65
2018,Democratic Republic of the Congo,58.85,61.90,60.37,84068091,47227535290.92
2018,Republic of the Congo,62.84,65.70,64.29,5244363,11263682694.04
2018,Costa Rica,77.54,82.73,80.10,4999441,60130106115.63
2018,Cote d'Ivoire,56.25,58.74,57.42,25069229,43007047821.75
2018,Croatia,74.90,81.40,78.07,4087843,60971699315.18
2018,Cuba,76.76,80.71,78.73,11338138,100023000000.00
2018,Cyprus,78.74,82.91,80.83,1189265,24961988663.20
2018,Czech Republic,76.10,82.00,78.98,10629928,245225882903.37
2018,Denmark,79.40,83.40,81.35,5793636,355675329085.95
2018,Djibouti,64.63,68.78,66.58,958920,2955912228.22
2018,Dominican Republic,70.81,77.20,73.89,10627165,85555390387.04
2018,Ecuador,74.06,79.65,76.80,17084357,108398058000.00
2018,Egypt,69.60,74.16,71.83,98423595,250894760351.23
2018,El Salvador,68.23,77.64,73.10,6420744,26057000000.00
2018,Equatorial Guinea,57.41,59.59,58.40,1308974,13432377049.54
2018,French Guiana,,,76,,
2018,Eritrea,63.79,68.16,65.94,..,..
2018,Estonia,74.30,83.00,78.54,1321977,30732144528.98
2018,Eswatini,55.28,63.97,59.40,1136191,4710618471.93
2018,Ethiopia,64.35,68.17,66.24,109224559,84355604752.53
2018,European Union,78.32,83.77,80.97,446786293,18768076076357.30
2018,Faroe Islands,80.50,84.70,82.55,48497,..
2018,Fiji,65.64,69.18,67.34,883483,5536759658.87
2018,Finland,79.20,84.60,81.83,5515525,276743120515.76
2018,Fragile and conflict affected situations,59.79,63.20,61.50,743958386,841432963671.60
2018,France,79.60,85.60,82.53,66977107,2777535239277.98
2018,French Polynesia,75.40,79.73,77.46,277679,..
2018,Gabon,64.15,68.32,66.19,2119275,16853589311.41
2018,Gambia,60.36,63.15,61.74,2280102,1632823198.96
2018,Georgia,69.17,77.99,73.60,3726549,17599660629.02
2018,Germany,78.70,83.40,80.99,82905782,3947620162502.96
2018,Ghana,62.72,64.85,63.78,29767108,65556464048.15
2018,Greece,78.80,83.90,81.29,10731726,218031844583.99
2018,Grenada,70.06,74.94,72.38,111454,1185925925.93
2018,Guam,76.61,83.37,79.86,165768,5920000000.00
2018,Guatemala,71.12,76.94,74.06,17247807,78460447919.99
2018,Guinea,60.48,61.67,61.19,12414318,10907214993.57
2018,Guinea Bissau,55.97,59.91,58.00,1874309,1458156026.16
2018,Guyana,66.78,72.97,69.77,779004,3878662620.77
2018,Haiti,61.50,65.83,63.66,11123176,9658721168.87
2018,Honduras,72.77,77.38,75.09,9587522,23969890430.79
2018,"Hong Kong SAR, China",82.30,87.70,84.93,7451000,362682018243.29
2018,Hungary,72.50,79.30,75.82,9775564,157882912778.25
2018,Iceland,81.10,84.30,82.66,352721,25878475760.11
2018,India,68.24,70.69,69.42,1352617328,2718732231257.57
2018,Indonesia,69.38,73.75,71.51,267663435,1042173300625.55
2018,Iran,75.41,77.67,76.48,81800269,..
2018,Iraq,68.43,72.49,70.45,38433600,224228010477.89
2018,Ireland,80.90,84.40,82.61,4867309,382487490532.48
2018,Israel,80.90,84.80,82.80,8882800,370587977153.58
2018,Italy,80.80,85.20,82.95,60421760,2083864259622.65
2018,Ivory Coast,,,57,,
2018,Jamaica,72.79,75.99,74.37,2934855,15713908816.15
2018,Japan,81.25,87.32,84.21,126529100,4971323079771.87
2018,Jordan,72.73,76.18,74.41,9956011,42231295774.65
2018,Kazakhstan,68.84,77.19,73.15,18272430,179339994859.38
2018,Kenya,63.97,68.68,66.34,51393010,87908262519.92
2018,Kiribati,64.00,72.11,68.12,115847,188284518.83
2018,North Korea,68.44,75.55,72.10,25549819,..
2018,"Korea, Rep.",79.70,85.70,82.63,51606633,1619423701169.63
2018,South Korea,70.00,74.50,72.20,1845300,7938990793.20
2018,Kuwait,74.67,76.47,75.40,4137309,140645364238.41
2018,Kyrgyzstan,67.40,75.60,71.40,6322800,8092836608.79
2018,Lao PDR,65.84,69.42,67.61,7061507,17953786416.14
2018,Latvia,69.80,79.80,74.68,1927174,34409229177.91
2018,Lebanon,77.08,80.82,78.88,6848925,56639155555.56
2018,Lesotho,50.58,56.95,53.71,2108132,2738786277.79
2018,Liberia,62.35,65.11,63.73,4818977,3264000000.00
2018,Libya,69.90,75.79,72.72,6678567,48364208571.43
2018,Liechtenstein,81.60,86.00,83.75,37910,..
